2025-03-19 05:39:08,902 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:08,965 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,001 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,063 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,097 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,167 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,197 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,263 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,317 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,362 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,431 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,487 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,516 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,564 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,617 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,674 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,727 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,816 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,893 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,920 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,967 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:09,996 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,070 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,101 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,207 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,244 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,287 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,330 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,377 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,437 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,487 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,512 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,601 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,627 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,687 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,725 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,815 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,880 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,921 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:10,996 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:11,070 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:11,104 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:11,170 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:11,201 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:11,257 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:11,326 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:11,387 - Position: x=-107.12, y=103.11, angle=0.00бу
